movie,similar_movie
"Dilemma, The ",Liberal Arts 
"Dilemma, The ",Mental 
Down Argentine Way ,Jalla! Jalla! 
Down Argentine Way ,Terminal
Down Argentine Way ,10 Items or Less 
Down Argentine Way ,For Roseanna (Roseanna's Grave) 
Down Argentine Way ,Cooler
"Trip, The ",Jalla! Jalla! 
"Trip, The ",Terminal
"Trip, The ",10 Items or Less 
"Trip, The ",For Roseanna (Roseanna's Grave) 
"Trip, The ",Cooler
Limitless ,Autómata (Automata) 
Limitless ,Final Cut
Limitless ,Timecrimes (Cronocrímenes
Limitless ,Skyline 
Limitless ,Island of Dr. Moreau
Happy People: A Year in the Taiga ,Dancemaker 
Happy People: A Year in the Taiga ,Regret to Inform 
Happy People: A Year in the Taiga ,Little Dieter Needs to Fly 
Happy People: A Year in the Taiga ,First Position 
Happy People: A Year in the Taiga ,Amanda Knox 
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) ,Animatrix
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) ,Steamboy (Suchîmubôi) 
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) ,Ultimate Avengers 2 
Evangelion: 2.0 You Can (Not) Advance (Evangerion shin gekijôban: Ha) ,Justice League: Crisis on Two Earths 
I Spit on Your Grave ,Cure 
I Spit on Your Grave ,Silence of the Lambs
I Spit on Your Grave ,Deliver Us from Evil 
I Spit on Your Grave ,Purge
Even the Rain (También la lluvia) ,French Lieutenant's Woman
Even the Rain (También la lluvia) ,Camera Buff (Amator) 
Even the Rain (También la lluvia) ,Children Are Watching Us
Even the Rain (También la lluvia) ,Return of Martin Guerre
Even the Rain (También la lluvia) ,Honey (Miele) 
It Happened on Fifth Avenue ,I'll Be Home For Christmas 
It Happened on Fifth Avenue ,Guru
It Happened on Fifth Avenue ,Hard Promises 
It Happened on Fifth Avenue ,40 Days and 40 Nights 
It Happened on Fifth Avenue ,10 
Zeitgeist: Moving Forward ,Dancemaker 
Zeitgeist: Moving Forward ,Regret to Inform 
Zeitgeist: Moving Forward ,Little Dieter Needs to Fly 
Zeitgeist: Moving Forward ,First Position 
Zeitgeist: Moving Forward ,Amanda Knox 
No Strings Attached ,I'll Be Home For Christmas 
No Strings Attached ,Guru
No Strings Attached ,Hard Promises 
No Strings Attached ,40 Days and 40 Nights 
No Strings Attached ,10 
"Lincoln Lawyer, The ",Boiler Room 
"Lincoln Lawyer, The ",Citizen X 
"Lincoln Lawyer, The ",Cleanskin 
"Lincoln Lawyer, The ",Perfect World
"Lincoln Lawyer, The ",Anything for Her (Pour elle) 
All-Star Superman ,Akira 
All-Star Superman ,Star Wars: The Clone Wars 
All-Star Superman ,Dragon Ball Z the Movie: The Tree of Might (Doragon bôru Z 3: Chikyû marugoto chô kessen) 
All-Star Superman ,The Amazing Screw-On Head 
Girls About Town ,Andrew Dice Clay: Dice Rules 
Girls About Town ,Night Shift 
Girls About Town ,Joe Dirt 2: Beautiful Loser 
Girls About Town ,I'm Starting From Three (Ricomincio da Tre) 
Girls About Town ,My Boyfriend's Back 
Kill! (Kiru) ,Palookaville 
Kill! (Kiru) ,Cowboy Way
Kill! (Kiru) ,Nicotina 
Kill! (Kiru) ,Super 
Kill! (Kiru) ,CHiPS 
Pekka ja Pätkä salapoliiseina ,Andrew Dice Clay: Dice Rules 
Pekka ja Pätkä salapoliiseina ,Night Shift 
Pekka ja Pätkä salapoliiseina ,Joe Dirt 2: Beautiful Loser 
Pekka ja Pätkä salapoliiseina ,I'm Starting From Three (Ricomincio da Tre) 
Pekka ja Pätkä salapoliiseina ,My Boyfriend's Back 
Unknown ,Eyes Wide Shut 
Unknown ,Unknown 
Unknown ,Game
Unknown ,Swimming Pool 
Unknown ,Number 23
Cedar Rapids ,Andrew Dice Clay: Dice Rules 
Cedar Rapids ,Night Shift 
Cedar Rapids ,Joe Dirt 2: Beautiful Loser 
Cedar Rapids ,I'm Starting From Three (Ricomincio da Tre) 
Cedar Rapids ,My Boyfriend's Back 
Gnomeo & Juliet ,Shrek 
Gnomeo & Juliet ,Puss in Boots (Nagagutsu o haita neko) 
Gnomeo & Juliet ,Toy Story 
Gnomeo & Juliet ,Adventures of Rocky and Bullwinkle
Burke and Hare ,After Hours 
Burke and Hare ,Man of the Year 
Burke and Hare ,Head Above Water 
Burke and Hare ,Cable Guy
Castaway on the Moon (Kimssi pyoryugi) ,Jalla! Jalla! 
Castaway on the Moon (Kimssi pyoryugi) ,Terminal
Castaway on the Moon (Kimssi pyoryugi) ,10 Items or Less 
Castaway on the Moon (Kimssi pyoryugi) ,For Roseanna (Roseanna's Grave) 
Castaway on the Moon (Kimssi pyoryugi) ,Cooler
Paul ,Back to the Future Part II 
Paul ,Howard the Duck 
Paul ,Barbarella 
Paul ,Hitch Hikers Guide to the Galaxy
"Asphyx, The ",Parasyte: Part 2 
"Asphyx, The ",Brain That Wouldn't Die
"Asphyx, The ",Hellevator 
"Asphyx, The ",Swamp Thing 
"Asphyx, The ",Fly II
Brother 2 (Brat 2) ,Irrational Man 
Brother 2 (Brat 2) ,Mean Streets 
Brother 2 (Brat 2) ,Pride and Glory 
Brother 2 (Brat 2) ,Felon 
Brother 2 (Brat 2) ,Godfather
Emma ,Jalla! Jalla! 
Emma ,Terminal
Emma ,10 Items or Less 
Emma ,For Roseanna (Roseanna's Grave) 
Emma ,Cooler
Drive Angry ,Ghost Rider 
Drive Angry ,Ghost Rider: Spirit of Vengeance 
Drive Angry ,Spirit
Drive Angry ,Crow
Rango ,Spirit: Stallion of the Cimarron 
Rango ,American Tail: Fievel Goes West
Rango ,Bolt 
Rango ,Incredibles
Take Me Home Tonight ,My Father the Hero (Mon père
Take Me Home Tonight ,Miracle on 34th Street 
Take Me Home Tonight ,Mrs. Doubtfire 
Take Me Home Tonight ,Liberal Arts 
Take Me Home Tonight ,Mental 
Confessions (Kokuhaku) ,Baxter 
Confessions (Kokuhaku) ,Martin 
Confessions (Kokuhaku) ,Ghost Story 
Confessions (Kokuhaku) ,Amer 
"Adjustment Bureau, The ",Upstream Color 
"Adjustment Bureau, The ",Open Your Eyes (Abre los ojos) 
"Adjustment Bureau, The ",Memoirs of an Invisible Man 
"Adjustment Bureau, The ",Armageddon 
"Mechanic, The ",Mercury Rising 
"Mechanic, The ",Get Carter 
"Mechanic, The ",Body of Lies 
"Mechanic, The ",In Hell 
"Mechanic, The ",San Andreas 
Hall Pass ,Andrew Dice Clay: Dice Rules 
Hall Pass ,Night Shift 
Hall Pass ,Joe Dirt 2: Beautiful Loser 
Hall Pass ,I'm Starting From Three (Ricomincio da Tre) 
Hall Pass ,My Boyfriend's Back 
"Eagle, The ",Snow Walker
"Eagle, The ",Fitzcarraldo 
"Eagle, The ",White Hunter
"Eagle, The ",Walkabout 
"Eagle, The ",Bounty
I Am Number Four ,Riddick 
I Am Number Four ,V for Vendetta 
I Am Number Four ,Battleship 
I Am Number Four ,Iron Man 3 
Battle: Los Angeles ,Soldier 
Battle: Los Angeles ,Starship Troopers 2: Hero of the Federation 
Battle: Los Angeles ,Battlestar Galactica 
Battle: Los Angeles ,Embassy 
Summer Wars (Samâ wôzu) ,Escape from Planet Earth 
Summer Wars (Samâ wôzu) ,9 
Summer Wars (Samâ wôzu) ,Mystery of the Third Planet
Summer Wars (Samâ wôzu) ,The Amazing Screw-On Head 
"Sunset Limited, The ",French Lieutenant's Woman
"Sunset Limited, The ",Camera Buff (Amator) 
"Sunset Limited, The ",Children Are Watching Us
"Sunset Limited, The ",Return of Martin Guerre
"Sunset Limited, The ",Honey (Miele) 
Winnie the Pooh and the Honey Tree ,Pokémon the Movie 2000 
Winnie the Pooh and the Honey Tree ,Dragon ball Z 04: Lord Slug 
Winnie the Pooh and the Honey Tree ,Care Bears Movie II: A New Generation 
Winnie the Pooh and the Honey Tree ,101 Dalmatians II: Patch's London Adventure 
Winnie the Pooh and the Honey Tree ,Kung Fu Panda: Secrets of the Masters 
Mars Needs Moms ,Megamind 
Mars Needs Moms ,Treasure Planet 
Mars Needs Moms ,Robots 
Mars Needs Moms ,Kung Fu Panda 2 
Scooby-Doo! Curse of the Lake Monster ,Holes 
Scooby-Doo! Curse of the Lake Monster ,Scooby-Doo 2: Monsters Unleashed 
Scooby-Doo! Curse of the Lake Monster ,That Darn Cat 
Scooby-Doo! Curse of the Lake Monster ,That Darn Cat! 
Winnie the Pooh and Tigger Too ,Pokémon the Movie 2000 
Winnie the Pooh and Tigger Too ,Dragon ball Z 04: Lord Slug 
Winnie the Pooh and Tigger Too ,Care Bears Movie II: A New Generation 
Winnie the Pooh and Tigger Too ,101 Dalmatians II: Patch's London Adventure 
Winnie the Pooh and Tigger Too ,Kung Fu Panda: Secrets of the Masters 
Hard Ticket to Hawaii ,Ride Along 2 
Hard Ticket to Hawaii ,Stop! Or My Mom Will Shoot 
Hard Ticket to Hawaii ,Let the Bullets Fly 
Hard Ticket to Hawaii ,City Heat 
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) ,Dead Presidents 
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) ,Blue Thunder 
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) ,Rise of the Footsoldier 
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) ,Gangster Squad 
Elite Squad: The Enemy Within (Tropa de Elite 2 - O Inimigo Agora É Outro) ,Sisters (Syostry) 
Mesrine: Public Enemy #1 (L'ennemi public n°1) ,Mod Squad
Mesrine: Public Enemy #1 (L'ennemi public n°1) ,Captain America II: Death Too Soon 
Mesrine: Public Enemy #1 (L'ennemi public n°1) ,Striking Distance 
Mesrine: Public Enemy #1 (L'ennemi public n°1) ,New York Cop (Nyû Yôku no koppu) 
Mesrine: Public Enemy #1 (L'ennemi public n°1) ,Gone in 60 Seconds 
Just Go with It ,I'll Be Home For Christmas 
Just Go with It ,Guru
Just Go with It ,Hard Promises 
Just Go with It ,40 Days and 40 Nights 
Just Go with It ,10 
Cave of Forgotten Dreams ,Dancemaker 
Cave of Forgotten Dreams ,Regret to Inform 
Cave of Forgotten Dreams ,Little Dieter Needs to Fly 
Cave of Forgotten Dreams ,First Position 
Cave of Forgotten Dreams ,Amanda Knox 
Red Riding Hood ,Ninth Gate
Red Riding Hood ,Heartless 
Red Riding Hood ,Digging Up the Marrow 
Red Riding Hood ,It 
"Big Mommas: Like Father, Like Son ",Andrew Dice Clay: Dice Rules 
"Big Mommas: Like Father, Like Son ",Night Shift 
"Big Mommas: Like Father, Like Son ",Joe Dirt 2: Beautiful Loser 
"Big Mommas: Like Father, Like Son ",I'm Starting From Three (Ricomincio da Tre) 
"Big Mommas: Like Father, Like Son ",My Boyfriend's Back 
Super ,Palookaville 
Super ,Cowboy Way
Super ,Nicotina 
Super ,CHiPS 
"Troll Hunter, The (Trolljegeren) ",Ginger Snaps Back: The Beginning 
"Troll Hunter, The (Trolljegeren) ",Queen of the Damned 
"Troll Hunter, The (Trolljegeren) ",Nightbreed 
"Troll Hunter, The (Trolljegeren) ",Candyman: Farewell to the Flesh 
"Troll Hunter, The (Trolljegeren) ",Company of Wolves
Source Code ,Knowing 
Source Code ,Self/less 
Source Code ,Maze Runner: The Death Cure 
Source Code ,Cloverfield 
Jane Eyre ,Crazy/Beautiful 
Jane Eyre ,Memoirs of a Geisha 
Jane Eyre ,To Gillian on Her 37th Birthday 
Jane Eyre ,Beautiful Thing 
Jane Eyre ,Girl on the Bridge
Sucker Punch ,Night at the Museum 
Sucker Punch ,Green Hornet
Sucker Punch ,Twilight Saga: Eclipse
Sucker Punch ,Oz the Great and Powerful 
Chalet Girl ,I'll Be Home For Christmas 
Chalet Girl ,Guru
Chalet Girl ,Hard Promises 
Chalet Girl ,40 Days and 40 Nights 
Chalet Girl ,10 
BURN-E ,Transformers: The Movie 
BURN-E ,Lilo & Stitch 
BURN-E ,Iron Giant
BURN-E ,Planet 51 
Senna ,Dancemaker 
Senna ,Regret to Inform 
Senna ,Little Dieter Needs to Fly 
Senna ,First Position 
Senna ,Amanda Knox 
Family Guy Presents: It's a Trap ,Mutant Aliens 
Family Guy Presents: It's a Trap ,Johnny Express 
Family Guy Presents: It's a Trap ,Futurama: Bender's Big Score 
Family Guy Presents: It's a Trap ,Family Guy Presents: Something
Insidious ,Tales from the Darkside: The Movie 
Insidious ,Insidious: Chapter 3 
Insidious ,Nightmare on Elm Street
Insidious ,Paperhouse 
Insidious ,Silent Hill 
Hobo with a Shotgun ,Transporter 3 
Hobo with a Shotgun ,Hackers 
Hobo with a Shotgun ,Into the Blue 
Hobo with a Shotgun ,Warriors
Hobo with a Shotgun ,Live Free or Die Hard 
Win Win ,My Father the Hero (Mon père
Win Win ,Miracle on 34th Street 
Win Win ,Mrs. Doubtfire 
Win Win ,Liberal Arts 
Win Win ,Mental 
Room in Rome (Habitación en Roma) ,Crazy/Beautiful 
Room in Rome (Habitación en Roma) ,Memoirs of a Geisha 
Room in Rome (Habitación en Roma) ,To Gillian on Her 37th Birthday 
Room in Rome (Habitación en Roma) ,Beautiful Thing 
Room in Rome (Habitación en Roma) ,Girl on the Bridge
Boy ,My Father the Hero (Mon père
Boy ,Miracle on 34th Street 
Boy ,Mrs. Doubtfire 
Boy ,Liberal Arts 
Boy ,Mental 
Diary of a Wimpy Kid: Rodrick Rules ,Andrew Dice Clay: Dice Rules 
Diary of a Wimpy Kid: Rodrick Rules ,Night Shift 
Diary of a Wimpy Kid: Rodrick Rules ,Joe Dirt 2: Beautiful Loser 
Diary of a Wimpy Kid: Rodrick Rules ,I'm Starting From Three (Ricomincio da Tre) 
Diary of a Wimpy Kid: Rodrick Rules ,My Boyfriend's Back 
Henry's Crime ,Ordinary Decent Criminal 
Henry's Crime ,Bad Santa 
Henry's Crime ,Jane Austen's Mafia! 
Henry's Crime ,Horrible Bosses 
Henry's Crime ,Delhi Belly 
Hop ,There Once Was a Dog 
Hop ,Garfield: A Tail of Two Kitties 
Hop ,Cars 
Hop ,Scooby-Doo! and the Loch Ness Monster 
Hop ,Big Top Scooby-Doo! 
Playing the Victim (Izobrazhaya zhertvu) ,Andrew Dice Clay: Dice Rules 
Playing the Victim (Izobrazhaya zhertvu) ,Night Shift 
Playing the Victim (Izobrazhaya zhertvu) ,Joe Dirt 2: Beautiful Loser 
Playing the Victim (Izobrazhaya zhertvu) ,I'm Starting From Three (Ricomincio da Tre) 
Playing the Victim (Izobrazhaya zhertvu) ,My Boyfriend's Back 
Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) ,You're Next 
Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) ,Saw II 
Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) ,Dominion: Prequel to the Exorcist 
Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) ,High Tension (Haute tension) (Switchblade Romance) 
Films to Keep You Awake: The Christmas Tale (Películas para no dormir: Cuento de navidad) ,Nightwatch 
13 Assassins (Jûsan-nin no shikaku) ,Tournament
13 Assassins (Jûsan-nin no shikaku) ,Best of the Best 3: No Turning Back 
13 Assassins (Jûsan-nin no shikaku) ,Ip Man 2 
13 Assassins (Jûsan-nin no shikaku) ,Hunted
13 Assassins (Jûsan-nin no shikaku) ,Lionheart 
Hanna ,Mission: Impossible 
Hanna ,Losers
Hanna ,Bourne Identity
Hanna ,National Treasure 
Connections ,Dancemaker 
Connections ,Regret to Inform 
Connections ,Little Dieter Needs to Fly 
Connections ,First Position 
Connections ,Amanda Knox 
Into Eternity ,Dancemaker 
Into Eternity ,Regret to Inform 
Into Eternity ,Little Dieter Needs to Fly 
Into Eternity ,First Position 
Into Eternity ,Amanda Knox 
Daffy Duck's Quackbusters ,Duck Amuck 
Daffy Duck's Quackbusters ,Garfield: The Movie 
Daffy Duck's Quackbusters ,Surf's Up 
Daffy Duck's Quackbusters ,Garfield: A Tail of Two Kitties 
American: The Bill Hicks Story ,Jackass Number Two 
American: The Bill Hicks Story ,Craig Ferguson: I'm Here To Help 
American: The Bill Hicks Story ,Kevin Hart: Laugh at My Pain 
American: The Bill Hicks Story ,Animals are Beautiful People 
Arthur ,I'll Be Home For Christmas 
Arthur ,Guru
Arthur ,Hard Promises 
Arthur ,40 Days and 40 Nights 
Arthur ,10 
Scream 4 ,Dead End 
Scream 4 ,Scream 2 
Scream 4 ,Killer Movie 
Scream 4 ,Scream 3 
Rio ,Jimmy Neutron: Boy Genius 
Rio ,Madagascar 
Rio ,Minions 
Rio ,Over the Hedge 
Rio ,Shaun the Sheep Movie 
Melancholia ,Unbreakable 
Melancholia ,Metropolis 
Melancholia ,I Origins 
Melancholia ,Monsters 
Melancholia ,Man Who Fell to Earth
Thor ,Harry Potter and the Deathly Hallows: Part 1 
Thor ,Oz the Great and Powerful 
Thor ,Wrath of the Titans 
Thor ,Pirates of the Caribbean: On Stranger Tides 
Louis C.K.: Hilarious ,Andrew Dice Clay: Dice Rules 
Louis C.K.: Hilarious ,Night Shift 
Louis C.K.: Hilarious ,Joe Dirt 2: Beautiful Loser 
Louis C.K.: Hilarious ,I'm Starting From Three (Ricomincio da Tre) 
Louis C.K.: Hilarious ,My Boyfriend's Back 
Louis C.K.: Chewed Up ,Andrew Dice Clay: Dice Rules 
Louis C.K.: Chewed Up ,Night Shift 
Louis C.K.: Chewed Up ,Joe Dirt 2: Beautiful Loser 
Louis C.K.: Chewed Up ,I'm Starting From Three (Ricomincio da Tre) 
Louis C.K.: Chewed Up ,My Boyfriend's Back 
Atlas Shrugged: Part 1 ,Solaris (Solyaris) 
Atlas Shrugged: Part 1 ,Quiet Earth
Atlas Shrugged: Part 1 ,Stalker 
Atlas Shrugged: Part 1 ,I'll Follow You Down 
Louis C.K.: Shameless ,Andrew Dice Clay: Dice Rules 
Louis C.K.: Shameless ,Night Shift 
Louis C.K.: Shameless ,Joe Dirt 2: Beautiful Loser 
Louis C.K.: Shameless ,I'm Starting From Three (Ricomincio da Tre) 
Louis C.K.: Shameless ,My Boyfriend's Back 
Mildred Pierce ,Sweet Smell of Success 
Mildred Pierce ,While the City Sleeps 
Mildred Pierce ,Letter
Mildred Pierce ,Strange Love of Martha Ivers
Voices from the List ,Dancemaker 
Voices from the List ,Regret to Inform 
Voices from the List ,Little Dieter Needs to Fly 
Voices from the List ,First Position 
Voices from the List ,Amanda Knox 
Water for Elephants ,Crazy/Beautiful 
Water for Elephants ,Memoirs of a Geisha 
Water for Elephants ,To Gillian on Her 37th Birthday 
Water for Elephants ,Beautiful Thing 
Water for Elephants ,Girl on the Bridge
African Cats ,Touching the Void 
African Cats ,Incident at Loch Ness 
African Cats ,Paper Clips 
African Cats ,Line King: The Al Hirschfeld Story
Kill the Irishman ,Mod Squad
Kill the Irishman ,Captain America II: Death Too Soon 
Kill the Irishman ,Striking Distance 
Kill the Irishman ,New York Cop (Nyû Yôku no koppu) 
Kill the Irishman ,Gone in 60 Seconds 
"Fast Five (Fast and the Furious 5, The) ",Good Day to Die Hard
"Fast Five (Fast and the Furious 5, The) ",Fast & Furious 6 (Fast and the Furious 6
"Fast Five (Fast and the Furious 5, The) ",Eagle Eye 
"Fast Five (Fast and the Furious 5, The) ",Dark Knight
Louis Theroux: Law & Disorder ,Dancemaker 
Louis Theroux: Law & Disorder ,Regret to Inform 
Louis Theroux: Law & Disorder ,Little Dieter Needs to Fly 
Louis Theroux: Law & Disorder ,First Position 
Louis Theroux: Law & Disorder ,Amanda Knox 
Idiots and Angels ,Waking Life 
Idiots and Angels ,Tale of Princess Kaguya
Idiots and Angels ,Angel's Egg (Tenshi no tamago) 
Idiots and Angels ,Belladonna of Sadness 
Idiots and Angels ,The Bremen Town Musicians 
Incendies ,Very Long Engagement
Incendies ,Joint Security Area (Gongdong gyeongbi guyeok JSA) 
Incendies ,The Diary of Anne Frank 
Incendies ,Ashes and Diamonds (Popiól i diament) 
Soul Surfer ,The Magnificent Ruffians 
Soul Surfer ,Paid in Full 
Soul Surfer ,Running Scared 
Soul Surfer ,Series 7: The Contenders 
Something Borrowed ,Jalla! Jalla! 
Something Borrowed ,Terminal
Something Borrowed ,10 Items or Less 
Something Borrowed ,For Roseanna (Roseanna's Grave) 
Something Borrowed ,Cooler
Bridesmaids ,Andrew Dice Clay: Dice Rules 
Bridesmaids ,Night Shift 
Bridesmaids ,Joe Dirt 2: Beautiful Loser 
Bridesmaids ,I'm Starting From Three (Ricomincio da Tre) 
Bridesmaids ,My Boyfriend's Back 
Priest ,French Lieutenant's Woman
Priest ,Camera Buff (Amator) 
Priest ,Children Are Watching Us
Priest ,Return of Martin Guerre
Priest ,Honey (Miele) 
Mothra (Mosura) ,Biggles 
Mothra (Mosura) ,Tin Man 
Mothra (Mosura) ,Doctor Who: Last Christmas 
Mothra (Mosura) ,Time Bandits 
Pirates of the Caribbean: On Stranger Tides ,Thor: The Dark World 
Pirates of the Caribbean: On Stranger Tides ,Oz the Great and Powerful 
Pirates of the Caribbean: On Stranger Tides ,Wrath of the Titans 
Pirates of the Caribbean: On Stranger Tides ,Harry Potter and the Deathly Hallows: Part 1 
Midnight in Paris ,Here Comes Mr. Jordan 
Midnight in Paris ,My Super Ex-Girlfriend 
Midnight in Paris ,Bewitched 
Midnight in Paris ,Bell
Midnight in Paris ,Just Like Heaven 
The Man from Nowhere ,Fast and the Furious
The Man from Nowhere ,U.S. Marshals 
The Man from Nowhere ,Blitz 
The Man from Nowhere ,Shepherd: Border Patrol
The Man from Nowhere ,Takers 
"Tree of Life, The ",French Lieutenant's Woman
"Tree of Life, The ",Camera Buff (Amator) 
"Tree of Life, The ",Children Are Watching Us
"Tree of Life, The ",Return of Martin Guerre
"Tree of Life, The ",Honey (Miele) 
"Hangover Part II, The ",Andrew Dice Clay: Dice Rules 
"Hangover Part II, The ",Night Shift 
"Hangover Part II, The ",Joe Dirt 2: Beautiful Loser 
"Hangover Part II, The ",I'm Starting From Three (Ricomincio da Tre) 
"Hangover Part II, The ",My Boyfriend's Back 
Nothing to Declare (Rien à déclarer) ,Andrew Dice Clay: Dice Rules 
Nothing to Declare (Rien à déclarer) ,Night Shift 
Nothing to Declare (Rien à déclarer) ,Joe Dirt 2: Beautiful Loser 
Nothing to Declare (Rien à déclarer) ,I'm Starting From Three (Ricomincio da Tre) 
Nothing to Declare (Rien à déclarer) ,My Boyfriend's Back 
Across the Hall ,Return to Sender 
Across the Hall ,Torn Curtain 
Across the Hall ,Cop 
Across the Hall ,Hideaway 
Across the Hall ,Swimfan 
"Roommate, The ",The Perfect Guy 
"Roommate, The ",Niagara 
"Roommate, The ",First Snow 
"Roommate, The ",Firm
"Roommate, The ",Bad Education (La mala educación) 
Attack the Block ,Men in Black II (a.k.a. MIIB) (a.k.a. MIB 2) 
Attack the Block ,Deadpool 2 
Attack the Block ,Hell Comes to Frogtown 
Attack the Block ,Superhero Movie 
The Way ,Hector and the Search for Happiness 
The Way ,Sisterhood of the Traveling Pants
The Way ,Fanboys 
The Way ,Darjeeling Limited
The Way ,Cloudburst 
Let the Bullets Fly ,Ride Along 2 
Let the Bullets Fly ,Stop! Or My Mom Will Shoot 
Let the Bullets Fly ,City Heat 
Let the Bullets Fly ,Hard Ticket to Hawaii 
Kung Fu Panda 2 ,Madagascar: Escape 2 Africa 
Kung Fu Panda 2 ,Cars 2 
Kung Fu Panda 2 ,Happy Feet 
Kung Fu Panda 2 ,Madagascar 3: Europe's Most Wanted 
X-Men: First Class ,Captain America: The First Avenger 
X-Men: First Class ,Battle: Los Angeles 
X-Men: First Class ,Soldier 
X-Men: First Class ,X2: X-Men United 
Submarine ,Jalla! Jalla! 
Submarine ,Terminal
Submarine ,10 Items or Less 
Submarine ,For Roseanna (Roseanna's Grave) 
Submarine ,Cooler
American Grindhouse ,Dancemaker 
American Grindhouse ,Regret to Inform 
American Grindhouse ,Little Dieter Needs to Fly 
American Grindhouse ,First Position 
American Grindhouse ,Amanda Knox 
Everything Must Go ,My Father the Hero (Mon père
Everything Must Go ,Miracle on 34th Street 
Everything Must Go ,Mrs. Doubtfire 
Everything Must Go ,Liberal Arts 
Everything Must Go ,Mental 
Beginners ,French Lieutenant's Woman
Beginners ,Camera Buff (Amator) 
Beginners ,Children Are Watching Us
Beginners ,Return of Martin Guerre
Beginners ,Honey (Miele) 
Super 8 ,Watchmen 
Super 8 ,Contagion 
Super 8 ,Inception 
Super 8 ,Day the Earth Stood Still
Bernie ,My Father the Hero (Mon père
Bernie ,Miracle on 34th Street 
Bernie ,Mrs. Doubtfire 
Bernie ,Liberal Arts 
Bernie ,Mental 
Green Lantern ,Ant-Man 
Green Lantern ,20
Green Lantern ,Time Machine
Green Lantern ,Waterworld 
Green Lantern ,X-Men: Days of Future Past 
Elektra Luxx ,Andrew Dice Clay: Dice Rules 
Elektra Luxx ,Night Shift 
Elektra Luxx ,Joe Dirt 2: Beautiful Loser 
Elektra Luxx ,I'm Starting From Three (Ricomincio da Tre) 
Elektra Luxx ,My Boyfriend's Back 
Mr. Popper's Penguins ,Andrew Dice Clay: Dice Rules 
Mr. Popper's Penguins ,Night Shift 
Mr. Popper's Penguins ,Joe Dirt 2: Beautiful Loser 
Mr. Popper's Penguins ,I'm Starting From Three (Ricomincio da Tre) 
Mr. Popper's Penguins ,My Boyfriend's Back 
Bad Teacher ,Andrew Dice Clay: Dice Rules 
Bad Teacher ,Night Shift 
Bad Teacher ,Joe Dirt 2: Beautiful Loser 
Bad Teacher ,I'm Starting From Three (Ricomincio da Tre) 
Bad Teacher ,My Boyfriend's Back 
Transformers: Dark of the Moon ,Oblivion 
Transformers: Dark of the Moon ,Star Wars: Episode II - Attack of the Clones 
Transformers: Dark of the Moon ,Transformers: Revenge of the Fallen 
Transformers: Dark of the Moon ,The Hunger Games: Catching Fire 
Larry Crowne ,Jalla! Jalla! 
Larry Crowne ,Terminal
Larry Crowne ,10 Items or Less 
Larry Crowne ,For Roseanna (Roseanna's Grave) 
Larry Crowne ,Cooler
Your Highness ,Big Trouble in Little China 
Your Highness ,Gamers
Your Highness ,Dungeons & Dragons 
Your Highness ,Pirates of the Caribbean: The Curse of the Black Pearl 
Too Big to Fail ,French Lieutenant's Woman
Too Big to Fail ,Camera Buff (Amator) 
Too Big to Fail ,Children Are Watching Us
Too Big to Fail ,Return of Martin Guerre
Too Big to Fail ,Honey (Miele) 
Takers ,Fast and the Furious
Takers ,U.S. Marshals 
Takers ,Blitz 
Takers ,Shepherd: Border Patrol
My Life as McDull (Mak dau goo si) ,Zoom 
My Life as McDull (Mak dau goo si) ,Mary and Max 
My Life as McDull (Mak dau goo si) ,Alesha Popovich and Tugarin the Dragon 
My Life as McDull (Mak dau goo si) ,Igor 
Zookeeper ,Andrew Dice Clay: Dice Rules 
Zookeeper ,Night Shift 
Zookeeper ,Joe Dirt 2: Beautiful Loser 
Zookeeper ,I'm Starting From Three (Ricomincio da Tre) 
Zookeeper ,My Boyfriend's Back 
Horrible Bosses ,Ordinary Decent Criminal 
Horrible Bosses ,Bad Santa 
Horrible Bosses ,Jane Austen's Mafia! 
Horrible Bosses ,Delhi Belly 
Cars 2 ,Open Season 
Cars 2 ,Happy Feet 
Cars 2 ,Madagascar 3: Europe's Most Wanted 
Cars 2 ,Madagascar: Escape 2 Africa 
Between the Folds ,Dancemaker 
Between the Folds ,Regret to Inform 
Between the Folds ,Little Dieter Needs to Fly 
Between the Folds ,First Position 
Between the Folds ,Amanda Knox 
Delhi Belly ,Ordinary Decent Criminal 
Delhi Belly ,Bad Santa 
Delhi Belly ,Jane Austen's Mafia! 
Delhi Belly ,Horrible Bosses 
Upside Down: The Creation Records Story ,Dancemaker 
Upside Down: The Creation Records Story ,Regret to Inform 
